lat,lng,height
35.21894,-102.30708,1183.46
35.22546,-102.34068,1193.89
35.20614,-102.33041,1188.53
35.22239,-102.33320,1193.42
35.68589,-98.15599,410.78
43.00679,-105.99909,1707.23
35.19064,-102.36261,1191.29
35.18422,-102.28727,1168.78
35.21006,-102.28056,1175.46
35.18438,-102.34177,1188.25
35.20956,-102.33897,1191.75
35.19356,-102.30338,1169.70
35.18118,-102.27969,1165.09
35.20165,-102.31923,1181.40
35.19629,-102.33402,1186.05
35.64219,-98.00469,372.48
35.19057,-102.29593,1171.17
42.99379,-106.02969,1719.13
35.20020,-102.35080,1193.29
35.19480,-102.33029,1183.37
35.20317,-102.35826,1195.94
35.18329,-102.32040,1180.06
35.17075,-102.29209,1166.46
43.00889,-105.99949,1716.78
35.64309,-98.06770,409.62
35.21128,-102.34309,1192.97
43.00779,-106.02228,1718.44
35.68659,-98.16349,411.09
43.00649,-105.99339,1700.51
35.64669,-98.10229,400.19
35.68309,-98.15260,411.58
35.19736,-102.27184,1166.28
35.21377,-102.35424,1195.84
42.99509,-106.01349,1701.64
35.64669,-98.07089,415.70
43.03549,-106.00109,1734.01
35.19648,-102.31090,1173.14
43.01459,-105.99939,1732.49
35.18399,-102.30656,1174.99
42.99269,-106.01479,1695.04
35.19777,-102.33775,1188.63
35.64629,-98.09819,398.43
35.69780,-98.20019,409.97
35.21755,-102.31234,1184.52
35.20763,-102.33415,1189.89
35.69790,-98.18479,409.05
35.69740,-98.17799,411.90
35.21321,-102.28804,1173.06
35.63379,-98.05759,403.61
35.62639,-98.01550,400.70
35.64669,-98.10619,398.64
35.22362,-102.34714,1193.64
35.18478,-102.32413,1182.23
35.64669,-98.07399,413.33
35.18548,-102.31029,1176.27
35.20185,-102.28317,1174.75
35.16777,-102.28467,1164.79
35.20334,-102.28690,1172.28
