lat,lng,height
44.89710,-74.09297,326.42
42.89259,-75.44740,509.93
42.89619,-75.45010,514.19
42.89449,-75.44750,519.81
42.89419,-75.45750,507.36
42.89289,-75.45340,502.42
42.89689,-75.45300,512.47
42.89719,-75.45540,503.68
43.74129,-75.55030,516.32
43.75839,-75.54909,478.83
43.73769,-75.57690,556.26
43.76679,-75.58360,504.04
43.72469,-75.53840,523.45
43.76439,-75.58230,513.06
43.72079,-75.56020,526.96
43.73679,-75.57310,553.37
43.71559,-75.52730,534.63
43.78329,-75.56660,450.73
43.71269,-75.50349,520.61
43.74649,-75.55680,526.87
43.72289,-75.50770,485.92
43.76659,-75.54919,454.35
43.77259,-75.59440,507.26
43.74809,-75.55880,522.13
43.77359,-75.56300,469.25
43.75089,-75.56700,516.32
43.78929,-75.57660,458.93
43.78479,-75.56900,450.05
43.76319,-75.57900,515.65
43.78009,-75.57740,480.45
43.77119,-75.55880,451.04
43.76609,-75.57230,494.13
43.74409,-75.55210,521.67
43.74169,-75.53160,474.52
43.79179,-75.63580,490.91
43.72341,-75.54932,517.01
43.74489,-75.54359,500.66
43.72439,-75.52520,510.78
43.77039,-75.55590,450.66
43.75019,-75.54870,500.35
43.69529,-75.50760,548.57
43.77999,-75.56380,450.86
43.75889,-75.57360,504.16
43.74799,-75.53440,467.26
43.69789,-75.51369,546.69
43.76289,-75.54510,454.08
43.75839,-75.58380,509.26
43.76813,-75.57532,498.96
43.73779,-75.55820,522.04
43.73639,-75.55420,526.32
43.78109,-75.57999,484.90
43.70229,-75.53340,545.35
43.79649,-75.58610,457.47
43.75799,-75.53850,451.99
43.72109,-75.51780,515.18
43.72029,-75.53460,529.20
43.79499,-75.57940,445.92
43.77899,-75.56110,451.89
43.79719,-75.58910,461.11
43.69609,-75.51130,546.74
43.77149,-75.57850,488.24
43.71629,-75.51010,520.35
43.72499,-75.52900,511.23
43.73739,-75.53670,501.73
43.71109,-75.51910,540.32
43.71759,-75.51290,514.41
43.77389,-75.59690,504.28
43.77419,-75.58179,491.14
43.75949,-75.57690,509.60
43.77289,-75.57040,484.97
43.73519,-75.53380,506.40
43.71649,-75.55469,528.01
43.76249,-75.55950,490.01
43.77569,-75.58410,495.92
43.73529,-75.52570,485.69
43.77689,-75.58670,496.75
43.72609,-75.51380,482.43
43.73269,-75.54639,533.41
43.78829,-75.57340,450.87
43.73959,-75.56000,521.34
43.78629,-75.57130,444.64
43.72449,-75.51030,481.50
43.75159,-75.55100,497.29
43.74059,-75.58330,557.82
43.73529,-75.57080,551.81
43.75979,-75.55240,486.58
43.71519,-75.50750,521.66
43.76109,-75.55700,491.22
43.72729,-75.53030,502.84
43.72219,-75.56250,527.86
43.77199,-75.59140,509.68
43.73039,-75.53750,515.00
43.73109,-75.56310,541.90
43.74939,-75.56140,515.90
43.73959,-75.54810,516.85
43.76099,-75.54190,452.91
43.71429,-75.52470,539.35
43.73189,-75.54340,529.22
43.72389,-75.52130,506.07
43.73109,-75.54050,522.55
43.71929,-75.51490,515.93
43.77909,-75.57220,472.33
43.73359,-75.53150,498.41
43.73879,-75.57999,556.12
43.75799,-75.56879,506.71
43.74879,-75.54620,495.06
43.69959,-75.52119,546.14
43.70629,-75.51530,541.96
43.70419,-75.51300,546.34
43.74359,-75.54030,494.48
43.75759,-75.56540,508.16
43.69569,-75.52679,542.22
43.75019,-75.53790,473.33
43.73799,-75.54590,524.41
43.77919,-75.58900,496.12
43.79569,-75.58320,455.12
43.80709,-75.66840,462.04
43.76849,-75.55240,448.72
43.74669,-75.53080,453.86
43.70129,-75.52389,546.38
43.80169,-75.60180,461.91
43.78669,-75.60220,485.44
43.77779,-75.61530,510.75
43.82759,-75.60319,423.47
43.80829,-75.61220,464.63
43.80819,-75.65359,471.97
43.79699,-75.62730,484.60
43.79729,-75.63740,503.25
43.80849,-75.62700,479.54
43.77979,-75.64030,501.79
43.82149,-75.63560,461.58
43.79299,-75.59700,492.58
43.80069,-75.59440,452.78
43.82529,-75.62760,450.25
43.80549,-75.60820,466.55
43.80639,-75.64750,475.95
43.80669,-75.67810,457.80
43.78169,-75.62560,504.83
